'Name','Image URL','Complexity','Diameter','Height','Weight','Motor Mount','Parachute Size','Shock Cord Type','Shock Cord Mount','Fin Thickness','Ring Thickness','Instructions','Decal','Launch Pad','Electronics Bay','Price','Product URL','Currency','SKU','Stock Status','Description','Rail Buttons','Links','Vinyl Decals','Tec features','Decals','Fire Blanket','Vinyl Decal','Parachute','Fin Array','Rocksim','Parachutes','Additional Decals'
'LOC-IV 4"','https://locprecision.com/cdn/shop/products/78_b74019b7-1f76-4fae-8959-43303c7bdc0d_1024x1024.jpg?v=1623234669','Intermediate-Advanced ','4″ ','47″ ','2lbs. ','38mm with ',' ',' ',' ','1/8″ ','1/4″ ','Yes','Logo only (','','','102.52','https://locprecision.com/products/loc-iv','USD','PK-48','http://schema.org/InStock','The LOC-IV is one of the ADVANCED SERIES of kits, which include factory pre-slotted airframe and through-the-wall fin construction, Now including payload section! The LOC IV has been the best selling kit in our history (perhaps all of high power history as well) Recently upgraded to 38mm motor mount and to-the-motor mount construction, this kit is the perfect Level 1 certification rocket kit. You can even park fly it well on F and G motors with the optional MMA-2 motor adapter. As evolution would have it, this 4-inch LOC-IV rocket kit now sports a 23" booster section and 11" payload for optional dual deployment set up.','','[{''text'': ''Level 1 certification tips\xa0'', ''href'': ''https://youtu.be/Xtr3758PvzA''}, {''text'': ''YouTube Vid!'', ''href'': ''https://www.youtube.com/watch?v=zLZ46CNVk5k&t=46s''}, {''text'': ''RockSim'', ''href'': ''https://cdn.shopify.com/s/files/1/0568/7489/3503/files/PK-48-Loc-IV-3.zip?v=1623759843''}, {''text'': ''PK-48 Instructions'', ''href'': ''https://cdn.shopify.com/s/files/1/0568/7489/3503/files/PK-48-Instructions.pdf?v=1623760037''}]','','','','','','','','','',''
'LOC 4" Goblin','https://locprecision.com/cdn/shop/products/62_d8924c62-c931-4f6b-b1c8-ffd56345549d_1024x1024.jpg?v=1627161576','Advanced ','4″ ','40.75" ','2.5lbs. ','54mm ',' ',' ',' ','1/4″ ','1/4″ ','Yes','','','','123.59','https://locprecision.com/products/loc-goblin','USD','LC-GOBLIN','http://schema.org/InStock','','','[{''text'': ''Goblin Instructions'', ''href'': ''https://cdn.shopify.com/s/files/1/0568/7489/3503/files/GoblinInstructions2020.pdf?v=1623658483''}, {''text'': ''LOC Goblin Rocksim file'', ''href'': ''https://netorgft2962317-my.sharepoint.com/:u:/g/personal/jay_locprecision_com/EeXAIOyZOGpJlH7Vl5PHRgcBCGsxAo4esQGzVTWA88kS3w?e=PlJ7z1''}, {''text'': ''4" Goblin build thread'', ''href'': ''https://www.rocketryforum.com/threads/loc-goblin-thread.145083/''}]','','','','','','','','','',''
'Yank IRIS 4"','https://locprecision.com/cdn/shop/products/YIRIS4-Cut_1024x1024.jpg?v=1627160266','Intermediate-Advanced ','4″ ','77" ','5.5lbs. ','54mm with ',' ',' ',' ','1/4″ ','1/4″ ','Yes','','','','123.59','https://locprecision.com/products/yiris4','USD','YIRIS4','http://schema.org/InStock','','','[{''text'': ''IRIS4 Instructions'', ''href'': ''https://cdn.shopify.com/s/files/1/0568/7489/3503/files/IRIS4.pdf?v=1623676966''}, {''text'': ''IRIS4 Rocksim'', ''href'': ''https://cdn.shopify.com/s/files/1/0568/7489/3503/files/4-iris.zip?v=1623677438''}, {''text'': ''Add an electronics bay for dual deployment flights. '', ''href'': ''https://locprecision.com/collections/rocket-components/products/electronics-bays-dual-deployment?variant=39778637283519''}, {''text'': "MMA''s to fly 38mm or 29mm motors", ''href'': ''https://locprecision.com/product/loc-n-ring-adaptors/''}, {''text'': ''RockSim'', ''href'': ''https://cdn.shopify.com/s/files/1/0568/7489/3503/files/YIRIS4.zip?v=1623677765''}]','','','','','','','','','',''
'EZI-65','https://locprecision.com/cdn/shop/products/5_e355f117-9cf3-4e73-a7ac-aebafb73a84d_1024x1024.jpg?v=1623155157','Entry-Intermediate ','4″ ','57.75 ','3.2lbs ','54mm with ',' ',' ',' ','1/8″ ','1/4″ ','Yes','','','','123.29','https://locprecision.com/products/ezi-65','USD','PK-64','http://schema.org/InStock','','','[{''text'': ''Aerotech I-65'', ''href'': ''http://www.aerotech-rocketry.com/products2.aspx''}, {''text'': ''Excellent Video with On-Board of an L-265.'', ''href'': ''https://www.youtube.com/watch?v=0LMfIvirkJ0''}, {''text'': ''PK-64_EZI-65-Instructions'', ''href'': ''https://cdn.shopify.com/s/files/1/0568/7489/3503/files/PK-64_EZI-65-Instructions.pdf?v=1623752528''}, {''text'': ''RockSim'', ''href'': ''https://cdn.shopify.com/s/files/1/0568/7489/3503/files/PK-64-EZI-65.zip?v=1623752493''}]','','','','','','','','','',''
'IRIS 3.10"','https://locprecision.com/cdn/shop/products/46_37718adf-58bf-4b32-b9ea-bfb6d9d58b68_1024x1024.jpg?v=1623163828','Entry/Intermediate ','3.1″ ','59.5 ','2.3lbs. ','38mm',' ',' ',' ','1/8"','1/4″ ','Yes','','','','100.56','https://locprecision.com/products/iris','USD','YIRIS3-38','http://schema.org/InStock','Logo decal included','','[{''text'': ''3" IRIS Build Instructions'', ''href'': ''https://cdn.shopify.com/s/files/1/0568/7489/3503/files/IRIS3_Build_Instructions.pdf?v=1667424088''}, {''text'': ''RockSim YIRIS338'', ''href'': ''https://cdn.shopify.com/s/files/1/0568/7489/3503/files/YIRIS338.zip?v=1623761980''}]','','','','','','','','','',''
'Forte''','https://locprecision.com/cdn/shop/products/17_7c25f8b4-6cff-4524-93dd-87d1654f9749_1024x1024.jpg?v=1623160043','Intermediate-Advanced ','3.1″ ','43.5 ','2.3lbs. ','38mm ',' ',' ',' ','1/8″ ','1/4″ ','Yes ','','','','91.4','https://locprecision.com/products/forte','USD','PK-32','http://schema.org/InStock','','','[{''text'': ''electronics bay!'', ''href'': ''/products/electronics-bays/''}, {''text'': ''PK-32-FORTE-Instructions'', ''href'': ''https://cdn.shopify.com/s/files/1/0568/7489/3503/files/PK-32-FORTE-Instructions.pdf?v=1623762398''}, {''text'': ''EXTREME Decals go here!! '', ''href'': ''https://stickershock23.com/product/pk-32-forte/''}, {''text'': ''RockSim file'', ''href'': ''https://cdn.shopify.com/s/files/1/0568/7489/3503/files/PK-32-Forte-1.zip?v=1623762333''}]','Yes','','','','','','','','',''
'Vulcanite','https://locprecision.com/cdn/shop/products/79_7f7d051e-e1dd-4f1f-b0a1-08dcf0e4b61a_1024x1024.jpg?v=1621673280',' ','','','',' ',' ',' ',' ',' ',' ',' ','','','','76.97','https://locprecision.com/products/vulcanite-h76','USD','Pk-52','http://schema.org/InStock','','','[{''text'': ''Extreme Decal Set!'', ''href'': ''https://stickershock23.com/product/pk-52-vulcanite/?fbclid=IwAR0K4tbHqseIn7w-eESBQwHn9STkO2zFq848g22lH2LdpI7nGUwdGj4J_wI''}, {''text'': ''PK-52_Vulcanite_H76 Instructions'', ''href'': ''https://cdn.shopify.com/s/files/1/0568/7489/3503/files/PK-52_Vulcanite_H76.pdf?v=1623763375''}]','','','','','','','','','',''
'Hi-Tech','https://locprecision.com/cdn/shop/products/27_584f6406-dcc8-47b0-9e3d-f3b26cec53df_1024x1024.jpg?v=1623161770','','','','','','','','','','','','','','','86.46','https://locprecision.com/products/hi-tech','USD','PK-56','http://schema.org/InStock','','','[{''text'': ''Hi-Tech Build Instructions'', ''href'': ''https://cdn.shopify.com/s/files/1/0568/7489/3503/files/PK-56_HiTech_Build_Instructions.pdf?v=1639515959''}, {''text'': ''Rocksim'', ''href'': ''https://cdn.shopify.com/s/files/1/0568/7489/3503/files/PK-56-Hi-Tech-H45.zip?v=1623762998''}]','','','','','','','','','',''
'T-LOC 4','https://locprecision.com/cdn/shop/products/94_5fe9a93f-2277-47dd-8111-3977a90ef038_1024x1024.jpg?v=1623335223',' ','','','',' ','28',' ',' ',' ',' ',' ','','','','83.14','https://locprecision.com/products/t-loc-4','USD','PK-105','http://schema.org/InStock','','','[{''text'': ''PK-105TLOC'', ''href'': ''https://cdn.shopify.com/s/files/1/0568/7489/3503/files/PK-105TLOC.pdf?v=1623503667''}, {''text'': ''RockSim'', ''href'': ''https://cdn.shopify.com/s/files/1/0568/7489/3503/files/T-LOC.zip?v=1623503857''}]','','','','',' ','','','','',''
'Minie-Magg 5.5"','https://locprecision.com/cdn/shop/products/18_d0efec94-18e7-4b34-958b-81dfd206dc72_1024x1024.jpg?v=1623241291','','','','','','','','','','','',' ','','','138.76','https://locprecision.com/products/minie-mag','USD','PK-68','http://schema.org/InStock','','','[{''text'': ''PK-68 Minie-Magg Instructions'', ''href'': ''https://cdn.shopify.com/s/files/1/0568/7489/3503/files/PK-68-Mini-Magg-Instructions.PDF?v=1654545493''}, {''text'': ''PK-68 Minie-Magg'', ''href'': ''https://cdn.shopify.com/s/files/1/0568/7489/3503/files/PK-68-Minie-Magg-1.zip?v=1623744700''}]','','','','','','','','','',''
'Athena','https://locprecision.com/cdn/shop/products/24_653e2768-a1a2-4d13-a0e5-35e7594587c2_1024x1024.jpg?v=1620915799','','','','','','','','','','','','','','','98.81','https://locprecision.com/products/athena3','USD','PK-37','http://schema.org/InStock','','','[{''text'': ''Athena Rocksim'', ''href'': ''https://cdn.shopify.com/s/files/1/0568/7489/3503/files/PK37-Athena.rkt?v=1695703921''}]','','','','','','','','','',''
'Graduator','https://locprecision.com/cdn/shop/products/22_e4d617f2-b2b2-4c8b-9be8-4de73c2d75a3_1024x1024.jpg?v=1623161201','','','','','','','','','','','','','','','77.8','https://locprecision.com/products/graduator','USD','PK-16','http://schema.org/InStock','','','[{''text'': ''PK-16-Graduator Instructions'', ''href'': ''https://cdn.shopify.com/s/files/1/0568/7489/3503/files/PK-16-Graduator.pdf?v=1623763227''}, {''text'': ''RockSim'', ''href'': ''https://cdn.shopify.com/s/files/1/0568/7489/3503/files/PK-16-Graduator-1.zip?v=1623763156''}, {''text'': ''Extreme Decal Set!'', ''href'': ''https://stickershock23.com/product/pk-14-loc-graduator/''}]','','','','','','','','','',''
'Warlock','https://locprecision.com/cdn/shop/products/23_6964f28a-859f-4e7a-9720-7b6f8f61c593_1024x1024.jpg?v=1623393514','Intermediate ','7.5″ ','51.5″ ','6.5lbs. ','38mm/54mm ',' ',' ',' ','1/4″','1/4"','Yes ','','','','221.83','https://locprecision.com/products/warlock','USD','PK-801x54','http://schema.org/InStock','','','[{''text'': ''Warlock Instructions'', ''href'': ''https://cdn.shopify.com/s/files/1/0568/7489/3503/files/Warlock_Build_Instructions.pdf?v=1661807217''}, {''text'': ''Warlock Rocksim'', ''href'': ''https://cdn.shopify.com/s/files/1/0568/7489/3503/files/PK-80_Warlock.RKT?v=1667858938''}]','','','Not included. ','','','','','','',''
'Phoenix 4"','https://locprecision.com/cdn/shop/products/58_5f17c930-733f-4953-9ad3-fd6b1565e7e2_1024x1024.jpg?v=1623329083','Intermediate','4″ ','42.5 ','3lbs. ','38mm','36" ',' ',' ','1/8″ ','1/8″ x3 - 1/4" FWD x1','Yes ','','','','124.75','https://locprecision.com/products/phoenix4','USD','PHOENIX438','http://schema.org/InStock','','','[{''text'': ''decal sheet photo'', ''href'': ''https://cdn.shopify.com/s/files/1/0568/7489/3503/files/IMG_4564.jpg?v=1659473997''}, {''text'': ''4" Phoenix Instructions'', ''href'': ''https://cdn.shopify.com/s/files/1/0568/7489/3503/files/Phoenix438Instructions.pdf?v=1657594415''}, {''text'': ''4" Phoenix Rocksim'', ''href'': ''https://cdn.shopify.com/s/files/1/0568/7489/3503/files/Phoenix4-38mm.rkt?v=1657594435''}]','','',' ','','','','','','',''
